x,y,z
48.366,42.884003,57.204002
48.834003,42.86,57.106003
48.332,42.994003,56.464005
46.920002,43.506,55.874004
46.668003,43.644,55.866
46.812004,43.482002,56.796
32.412003,9.966001,67.792
32.716003,9.9800005,67.506004
32.992,9.7960005,67.728004
33.176003,10.794001,65.478004
33.276,10.706,65.442
32.976,10.706,65.836006
10.120001,14.808001,4.912
10.358001,13.89,4.526
10.31,14.124001,5.484
10.568001,13.740001,2.456
10.352,14.124001,2.6200001
10.498,14.468,2.114
3.7960002,33.712,100.854004
3.9220002,33.338,100.512
3.8420002,33.264,100.59801
4.4700003,31.166002,99.44
4.512,31.260002,99.340004
4.7660003,30.630001,99.066
11.05,31.404001,161.69601
11.354,31.496002,161.266
12.0060005,30.874,160.326
9.952001,32.54,163.272
10.462001,32.298,162.53801
10.394,31.876001,162.64601
53.996002,41.416,106.59601
53.97,41.736004,106.9
54.190002,40.95,106.692
54.398003,40.762,107.924
54.274002,40.982002,107.384
54.29,41.114002,107.788
32.120003,10.320001,67.366005
32.188,10.452001,67.064
32.336002,10.334001,67.104004
31.754002,10.324,68.094
31.648,10.168,68.478004
31.546001,10.356001,68.426
24.484001,33.27,14.356001
24.428001,33.724003,14.598001
24.084002,33.494003,14.364
23.744001,33.362003,14.236001
24.320002,32.886,14.122001
23.94,33.372,14.276001
33.564003,56.794003,117.94201
33.246002,56.812004,117.990005
33.838,56.994003,118.142006
34.084003,57.352,119.53001
33.45,57.306004,119.412
33.702003,57.340004,119.922005
59.828003,13.942,49.276
59.964005,14.304001,48.644
60.052002,14.344001,49.606003
59.812004,13.674001,51.704002
59.684002,13.426001,51.634003
59.99,14.040001,51.462
53.576004,43.782,107.552
53.262,44.116,107.164
53.088,44.390003,107.380005
53.534004,43.062,106.816
53.462,43.318,106.74801
53.612003,43.338,107.074005
22.79,34.654003,14.382001
23.416,34.002003,14.376
22.848001,34.812,14.434001
21.434002,36.392002,14.240001
21.234001,36.41,14.178
21.738,35.904003,14.286
26.386002,46.518,177.272
26.938002,47.096,176.31001
26.486002,46.818,176.544
28.474,47.948,176.658
27.988,47.778004,176.12201
27.984001,47.516003,176.968
10.248,36.182003,176.92801
10.598001,36.65,176.73601
10.040001,36.196003,176.552
10.466001,37.636,174.826
10.338,37.876003,174.598
10.280001,37.614002,174.574
7.03,33.624,82.93201
7.2100005,33.986,83.034004
7.038,33.916,82.66
7.056,32.792,82.342
6.9740005,32.61,81.96001
7.044,32.43,82.23801
28.066002,7.366,198.38802
28.250002,7.6260004,198.162
28.212002,7.5360003,198.58202
28.232002,5.992,199.39001
28.764002,5.8220005,199.57
28.112001,5.774,199.412
12.232,24.170002,87.372
12.446001,23.976002,87.768005
12.344001,23.938002,87.838005
11.594001,25.566002,85.02801
11.884001,24.976002,85.94401
11.81,24.934002,86.018005
17.784,49.516003,47.348003
17.738,49.322002,48.52
18.294,49.742,47.600002
18.156,49.878002,46.510002
18.162,49.826004,46.746002
18.640001,50.082,46.814003
22.84,22.984001,9.944
22.976002,23.714,10.098001
22.778002,23.316002,9.828
23.884,23.424002,10.488001
23.87,23.892,10.672001
23.636002,22.804,10.286
27.024002,5.768,198.64201
27.210001,5.742,198.906
26.970001,5.688,198.854
