x,y,z
40.00845,20.692644,87.174034
59.484985,51.87216,5.4045815
36.103546,58.554558,109.78644
55.393417,27.29504,81.55293
50.148834,15.954706,68.15188
42.84247,9.65843,58.42107
55.0233,38.905228,66.56795
26.928453,23.416798,108.01264
57.647194,66.85075,26.82557
50.37709,15.561123,111.88555
35.780357,14.909416,112.37299
14.645226,14.213978,65.399994
17.686167,73.45208,35.00656
43.46751,68.59788,92.20956
41.039875,34.54914,52.8597
41.50599,31.182878,97.92239
36.19954,6.9065437,115.889656
50.85707,19.295366,118.670334
28.42706,54.48539,106.23672
41.880375,60.60247,107.741714
49.05128,21.364614,118.16263
45.344765,31.436735,113.18256
41.817444,8.397678,51.290695
34.995323,9.965616,113.86947
50.067772,52.771328,30.769941
32.184772,39.424675,62.95528
26.81646,23.074411,37.644325
59.886032,35.80029,94.60733
51.40105,33.74064,86.130875
24.420824,32.16417,4.844604
27.672956,83.45167,36.974483
17.708567,34.462746,92.51994
49.50886,19.511892,122.87923
56.762962,12.714304,57.210453
35.939285,49.191742,69.099045
48.356907,51.820965,49.98728
46.920166,43.23892,37.600594
51.654907,59.328926,86.106346
53.051117,83.12102,31.958158
13.380209,74.454704,8.224731
46.066868,45.95454,117.74984
45.729816,89.450356,10.915821
44.581062,35.861088,38.675747
44.892517,18.64366,54.048985
64.73704,64.72284,8.778309
41.41426,32.35083,4.238762
53.876682,58.09271,46.845013
2.3182907,77.40878,2.861023e-06
48.029457,40.70569,116.44963
60.439613,89.79808,8.33246
45.005577,27.439034,77.3067
33.807106,26.43534,119.16419
41.191334,86.52568,28.916147
48.159584,61.017387,105.51461
56.02486,62.431732,31.881361
32.383163,85.300125,8.845507
37.290695,21.030762,103.896545
51.90876,34.224888,54.857483
50.35576,62.42853,84.87972
51.153595,91.13562,14.86446
39.227684,15.691248,101.61184
38.33705,3.7130737,120.05695
15.263866,64.92549,20.661556
61.45397,41.46939,104.88744
30.909092,26.498272,3.0025463
24.13177,49.522392,18.418447
43.48351,81.014435,48.338287
42.950195,85.16786,43.994995
51.8597,52.02256,37.28807
31.943714,24.09197,115.103546
64.19199,64.74524,10.012392
42.769936,12.094593,129.792
38.55571,7.7459717,127.25771
46.230064,86.996056,32.352806
21.02043,37.90367,19.786926
36.944042,51.36232,73.2962
56.755497,62.19494,26.18346
47.04603,46.481453,34.327126
44.880783,19.402029,103.115776
44.153347,26.082289,122.02594
38.0448,45.779613,32.27281
43.72243,25.002867,85.08238
47.90679,21.141691,112.83591
42.63021,32.576958,8.8732395
17.239252,59.51025,91.968506
57.407204,29.65974,46.05891
18.353872,26.64973,47.513783
19.274368,71.002045,53.45914
51.586643,9.926153,123.34748
59.882835,49.14161,3.9571738
36.258205,74.387505,73.96284
56.210453,73.45955,27.917793
41.352394,1.7696838,120.41213
18.743189,37.90367,5.8973613
38.05653,25.263123,103.76535
16.522482,78.10362,24.858719
52.93379,66.4945,47.096737
51.898094,43.05439,11.359537
21.643337,47.79873,71.065895
43.474976,20.9081,106.50551
43.6403,28.598454,118.803665
12.402117,69.328514,7.192242
17.888826,67.88431,71.90106
17.559238,35.464306,91.466125
22.701427,70.38127,75.99582
50.973335,63.817276,47.024204
19.882343,32.810547,40.5978
57.122414,30.523705,90.190445
26.818592,82.37544,43.861668
16.856335,31.301273,34.983097
41.715046,36.464798,11.004351
50.27043,45.584423,91.67838
37.633083,20.823837,102.85446
53.900146,28.581387,85.26051
46.57138,77.801765,47.605515
35.5393,41.88217,50.453396
44.911716,46.45372,29.836645
44.931984,45.459625,24.587795
66.71136,89.02477,5.481379
44.186413,14.741955,98.85676
19.79168,48.993347,78.73918
14.914013,59.749176,32.94585
46.586315,48.154984,30.717676
54.822777,28.186735,55.38119
61.639565,70.30874,17.301693
53.11191,45.874542,68.23401
37.792007,14.395302,99.96711
37.100838,39.677464,62.4817
53.29324,40.020916,84.785866
51.045864,5.686325,116.161644
34.813995,23.92771,77.3515
39.882587,8.0360985,108.737946
22.668362,35.796024,9.355352
13.807926,50.63595,3.3641315
38.487446,48.119785,116.77068
20.141533,82.36691,9.604942
18.187479,26.099354,48.55481
48.015587,51.0594,49.330242
32.299965,40.57876,38.097637
53.79882,65.96865,46.829014
55.495815,11.667948,59.870613
42.373154,12.305788,49.90622
15.89744,9.288313,46.635956
34.095093,15.122736,120.73746
52.011158,11.885536,51.51362
17.298983,67.22087,71.51388
21.87586,39.320145,24.375536
43.850426,32.087376,49.23958
42.52675,10.536259,129.52429
51.034134,35.047253,6.782658
0.58286667,60.36995,3.07721
30.383245,43.494907,14.875128
28.222267,25.457247,58.055218
41.915573,32.91294,94.31827
43.368313,51.941494,114.210785
18.219479,50.51435,75.33132
23.577126,49.76345,18.064327
43.213654,31.459133,97.93839
49.593124,7.759838,125.92977
21.882261,41.592052,109.05686
30.305382,44.65006,26.356256
38.97916,36.3432,66.51994
66.41483,76.49835,6.377341
65.09435,58.3327,8.9073715
20.307926,33.061203,40.057022
52.497536,11.900469,49.783558
41.724648,7.276661,110.18535
46.60658,18.023952,105.45808
56.391777,17.540773,61.950527
59.726044,30.948223,87.39589
49.472595,11.35116,100.10257
48.039055,47.13636,46.871674
23.77125,23.158676,107.442
47.913193,13.090822,106.49804
49.702988,20.748108,120.14761
53.57163,50.38209,62.665165
38.765835,102.73301,3.0249457
62.224075,51.081795,4.0521035
53.015915,37.12077,82.55342
35.727028,51.21726,75.25772
43.370445,88.89252,12.575487
30.32138,39.93452,57.694702
25.913029,35.099518,32.096817
66.960945,83.57646,6.7837234
42.975796,43.543972,13.585579
48.815556,17.706099,88.73663
18.289875,40.397434,86.01994
25.42665,84.571625,5.9826903
54.78331,59.26706,24.820316
18.06055,58.68042,37.712585
53.298573,47.97899,7.0237145
45.549557,91.99318,5.327784
27.857483,17.741299,53.422874
47.6828,46.729973,87.44816
22.33771,48.226448,14.672466
58.208237,70.04208,22.0247
35.711025,17.131191,111.71383
56.7043,60.273952,17.266497
39.97005,2.3381958,114.26625
19.08131,83.90498,16.370531
53.64309,59.388657,46.56449
40.70922,16.270424,55.900642
50.170166,16.293888,117.14187
24.008041,19.402029,66.33968
18.537333,52.377743,16.821712
26.754593,8.185425,56.903267
37.051773,72.577446,80.25698
44.787987,17.484241,65.28373
23.674187,31.613796,90.66189
13.07089,64.44338,10.473173
51.170662,38.767635,9.778801
47.031097,0.90465546,116.75575
54.157204,58.444695,98.664764
39.539135,7.799309,109.03447
62.500328,72.20413,15.054319
47.57294,19.90974,125.68232
31.840252,38.33565,9.969727
65.00156,86.55234,8.289797
35.332375,28.628319,2.8969507
31.940516,52.15055,108.29956
42.518215,14.302507,78.931175
53.083115,75.97144,41.60043
61.41877,69.03732,17.320892
54.798244,41.505657,62.125454
39.54767,41.386192,52.065067
26.341812,29.26616,29.087877
61.02519,41.66458,96.07713
50.703476,56.385044,84.49361
32.85888,43.84263,53.91992
